Клиент,Телефон,Дата визита,Мастер,Услуга,Сумма
Анна Соколова,+79450478137,20.02.2026,Алина,Маникюр + гель,2812
Анна Соколова,+79450478137,16.01.2026,Алина,Маникюр + гель,2773
Анна Соколова,+79450478137,19.12.2025,Алина,Маникюр + гель,2847
Мария Иванова,+79190476647,24.05.2026,Марина,Укладка,999
Мария Иванова,+79190476647,16.04.2026,Марина,Укладка,1053
Мария Иванова,+79190476647,07.03.2026,Марина,Укладка,1108
Мария Иванова,+79190476647,23.01.2026,Марина,Укладка,859
Мария Иванова,+79190476647,10.12.2025,Марина,Укладка,911
Мария Иванова,+79190476647,05.11.2025,Марина,Укладка,959
Мария Иванова,+79190476647,25.09.2025,Марина,Укладка,977
Мария Иванова,+79190476647,11.08.2025,Марина,Укладка,1109
Ольга Петрова,+79799770466,01.03.2026,Ольга,Окрашивание волос,5778
Елена Сидорова,+79973801200,22.04.2026,Алина,Стрижка,1208
Елена Сидорова,+79973801200,16.03.2026,Алина,Стрижка,1161
Елена Сидорова,+79973801200,06.02.2026,Алина,Стрижка,1248
Елена Сидорова,+79973801200,25.12.2025,Алина,Стрижка,1078
Елена Сидорова,+79973801200,20.11.2025,Алина,Стрижка,1110
Елена Сидорова,+79973801200,17.10.2025,Алина,Стрижка,1173
Елена Сидорова,+79973801200,08.09.2025,Алина,Стрижка,1096
Елена Сидорова,+79973801200,04.08.2025,Алина,Стрижка,1043
Наталья Кузнецова,+79698700260,04.06.2026,Ольга,Брови (окрашивание),1587
Наталья Кузнецова,+79698700260,25.04.2026,Ольга,Брови (окрашивание),1543
Наталья Кузнецова,+79698700260,21.03.2026,Ольга,Брови (окрашивание),1533
Наталья Кузнецова,+79698700260,12.02.2026,Ольга,Брови (окрашивание),1728
Наталья Кузнецова,+79698700260,10.01.2026,Ольга,Брови (окрашивание),1534
Наталья Кузнецова,+79698700260,07.12.2025,Ольга,Брови (окрашивание),1769
